time,Heading,,time in seconds
1,0.02,,0.2
2,0.35,-0.33,0.4
3,0.51,-0.16,0.6
4,0.08,0.43,0.8
5,359.43,-359.35,1
6,359.49,-0.06,1.2
7,359.75,-0.26,1.4
8,0.5,359.25,1.6
9,359.61,-359.11,1.8
10,359.7,-0.09,2
11,358.69,1.01,2.2
12,358.4,0.29,2.4
13,358.75,-0.35,2.6
14,358.44,0.31,2.8
15,354.72,3.72,3
16,352.2,2.52,3.2
17,348.52,3.68,3.4
18,343.06,5.46,3.6
19,334.21,8.85,3.8
20,327.55,6.66,4
21,325.12,2.43,4.2
22,320.77,4.35,4.4
23,316.9,3.87,4.6
24,311.62,5.28,4.8
25,305.71,5.91,5
26,299.05,6.66,5.2
27,293,6.05,5.4
28,287.61,5.39,5.6
29,282.37,5.24,5.8
30,277.33,5.04,6
31,273.81,3.52,6.2
32,266.6,7.21,6.4
33,261.09,5.51,6.6
34,252.4,8.69,6.8
35,245,7.4,7
36,235.18,9.82,7.2
37,213.22,21.96,7.4
38,184.48,28.74,7.6
39,164.32,20.16,7.8
40,150.14,14.18,8
41,138.56,11.58,8.2
42,126.94,11.62,8.4
43,116.36,10.58,8.6
44,110.56,5.8,8.8
45,107.15,3.41,9
46,105.09,2.06,9.2
47,104.43,0.66,9.4
48,102.27,2.16,9.6
49,100.97,1.3,9.8
50,100.61,0.36,10
51,99.21,1.4,10.2
52,97.3,1.91,10.4
53,95.12,2.18,10.6
54,92.15,2.97,10.8
55,89.35,2.8,11
56,86.89,2.46,11.2
57,84.4,2.49,11.4
58,82.11,2.29,11.6
59,79.84,2.27,11.8
60,78.12,1.72,12
61,75.97,2.15,12.2
62,73.53,2.44,12.4
63,71.86,1.67,12.6
64,70.81,1.05,12.8
65,69.03,1.78,13
66,67.12,1.91,13.2
67,64.78,2.34,13.4
68,62.73,2.05,13.6
69,60.59,2.14,13.8
70,57.6,2.99,14
71,55.46,2.14,14.2
72,52.8,2.66,14.4
73,50.56,2.24,14.6
74,48.37,2.19,14.8
75,44.68,3.69,15
76,36.81,7.87,15.2
77,34.93,1.88,15.4
78,32.61,2.32,15.6
79,28.91,3.7,15.8
80,26.48,2.43,16
81,24.7,1.78,16.2
82,25.81,-1.11,16.4
83,27.98,-2.17,16.6
84,21.96,6.02,16.8
85,19.26,2.7,17
86,16.29,2.97,17.2
87,13.08,3.21,17.4
88,13.13,-0.05,17.6
89,10.91,2.22,17.8
90,8.6,2.31,18
91,4.12,4.48,18.2
92,1.56,2.56,18.4
93,357.47,-355.91,18.6
94,356.06,1.41,18.8
95,354,2.06,19
96,352.4,1.6,19.2
97,353.44,-1.04,19.4
98,353.46,-0.02,19.6
99,353.37,0.09,19.8
100,352.97,0.4,20
101,353.29,-0.32,20.2
102,353.59,-0.3,20.4
103,353.55,0.04,20.6
104,353.45,0.1,20.8
105,353.72,-0.27,21
